County_Code,City_Name,County_Name,State_ABV,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,taxes,total_cost
27,"Escambia County, AL",Escambia County,AL," $8,146 "," $8,032 "," $12,759 "," $14,149 "," $5,862 "," $7,016 "," $55,963 "
28,"Gadsden, AL MSA",Etowah County,AL," $9,112 "," $8,139 "," $13,046 "," $13,852 "," $6,251 "," $7,700 "," $58,099 "
29,"Fayette County, AL",Fayette County,AL," $8,135 "," $8,703 "," $13,249 "," $14,149 "," $6,101 "," $7,383 "," $57,719 "
30,"Franklin County, AL",Franklin County,AL," $8,086 "," $7,817 "," $12,804 "," $14,149 "," $5,762 "," $6,933 "," $55,551 "
31,"Dothan, AL HUD Metro FMR Area",Geneva County,AL," $7,803 "," $7,924 "," $13,234 "," $14,091 "," $5,699 "," $7,049 "," $55,800 "
32,"Greene County, AL",Greene County,AL," $8,317 "," $8,972 "," $13,093 "," $13,520 "," $6,265 "," $7,335 "," $57,501 "
33,"Tuscaloosa, AL HUD Metro FMR Area",Hale County,AL," $7,465 "," $8,891 "," $13,872 "," $13,463 "," $5,926 "," $7,204 "," $56,822 "
34,"Henry County, AL HUD Metro FMR Area",Henry County,AL," $8,390 "," $8,676 "," $14,104 "," $14,091 "," $6,184 "," $7,986 "," $59,432 "
35,"Dothan, AL HUD Metro FMR Area",Houston County,AL," $9,414 "," $8,703 "," $12,354 "," $14,091 "," $6,564 "," $7,995 "," $59,122 "
36,"Jackson County, AL",Jackson County,AL," $8,723 "," $8,623 "," $13,009 "," $14,149 "," $6,285 "," $7,624 "," $58,412 "
37,"Birmingham-Hoover, AL HUD Metro FMR Area",Jefferson County,AL," $13,054 "," $8,623 "," $12,209 "," $14,720 "," $7,854 "," $10,148 "," $66,608 "
38,"Lamar County, AL",Lamar County,AL," $8,386 "," $8,488 "," $13,150 "," $14,149 "," $6,114 "," $7,378 "," $57,665 "
39,"Florence-Muscle Shoals, AL MSA",Lauderdale County,AL," $9,277 "," $7,871 "," $12,931 "," $14,091 "," $6,213 "," $7,802 "," $58,184 "
40,"Decatur, AL MSA",Lawrence County,AL," $7,907 "," $8,515 "," $13,959 "," $14,031 "," $5,950 "," $7,507 "," $57,870 "
41,"Auburn-Opelika, AL MSA",Lee County,AL," $10,588 "," $9,563 "," $12,645 "," $15,079 "," $7,301 "," $9,442 "," $64,617 "
42,"Huntsville, AL MSA",Limestone County,AL," $8,913 "," $8,542 "," $14,693 "," $15,258 "," $6,325 "," $8,749 "," $62,480 "
43,"Montgomery, AL MSA",Lowndes County,AL," $7,606 "," $8,945 "," $13,889 "," $14,450 "," $5,997 "," $7,694 "," $58,583 "
44,"Macon County, AL",Macon County,AL," $8,358 "," $8,757 "," $12,602 "," $14,149 "," $6,201 "," $7,425 "," $57,492 "
45,"Huntsville, AL MSA",Madison County,AL," $11,054 "," $8,515 "," $13,570 "," $15,258 "," $7,091 "," $9,676 "," $65,164 "
46,"Marengo County, AL",Marengo County,AL," $8,490 "," $8,005 "," $13,256 "," $14,149 "," $5,977 "," $7,373 "," $57,249 "
47,"Marion County, AL",Marion County,AL," $8,309 "," $8,461 "," $13,034 "," $14,149 "," $6,077 "," $7,408 "," $57,438 "
48,"Marshall County, AL",Marshall County,AL," $8,603 "," $7,978 "," $12,892 "," $14,149 "," $6,008 "," $7,230 "," $56,859 "
49,"Mobile, AL MSA",Mobile County,AL," $10,781 "," $8,488 "," $12,482 "," $13,972 "," $6,982 "," $8,678 "," $61,383 "
50,"Monroe County, AL",Monroe County,AL," $8,072 "," $8,032 "," $12,984 "," $14,149 "," $5,835 "," $7,011 "," $56,083 "
51,"Montgomery, AL MSA",Montgomery County,AL," $11,474 "," $8,757 "," $12,277 "," $14,450 "," $7,331 "," $9,383 "," $63,673 "
52,"Decatur, AL MSA",Morgan County,AL," $9,442 "," $8,327 "," $12,963 "," $14,031 "," $6,439 "," $7,980 "," $59,182 "
53,"Perry County, AL",Perry County,AL," $8,072 "," $8,247 "," $13,033 "," $14,149 "," $5,913 "," $7,115 "," $56,528 "
54,"Pickens County, AL HUD Metro FMR Area",Pickens County,AL," $8,336 "," $9,079 "," $13,292 "," $14,091 "," $6,310 "," $7,779 "," $58,888 "
55,"Pike County, AL",Pike County,AL," $8,791 "," $9,160 "," $12,297 "," $14,149 "," $6,504 "," $7,649 "," $58,550 "
56,"Randolph County, AL",Randolph County,AL," $8,399 "," $7,951 "," $13,101 "," $14,149 "," $5,924 "," $7,156 "," $56,679 "
57,"Columbus, GA-AL MSA",Russell County,AL," $9,874 "," $8,435 "," $12,387 "," $15,079 "," $6,634 "," $8,509 "," $60,918 "
58,"Birmingham-Hoover, AL HUD Metro FMR Area",St. Clair County,AL," $11,879 "," $9,267 "," $13,769 "," $14,720 "," $7,662 "," $10,224 "," $67,521 "
59,"Birmingham-Hoover, AL HUD Metro FMR Area",Shelby County,AL," $15,186 "," $9,106 "," $13,331 "," $14,720 "," $8,802 "," $11,968 "," $73,113 "
60,"Sumter County, AL",Sumter County,AL," $9,773 "," $7,951 "," $12,926 "," $14,149 "," $6,422 "," $7,848 "," $59,068 "
61,"Talladega County, AL",Talladega County,AL," $8,690 "," $8,838 "," $12,642 "," $14,149 "," $6,351 "," $7,584 "," $58,254 "
62,"Tallapoosa County, AL",Tallapoosa County,AL," $8,502 "," $8,488 "," $12,998 "," $14,149 "," $6,156 "," $7,501 "," $57,795 "
63,"Tuscaloosa, AL HUD Metro FMR Area",Tuscaloosa County,AL," $10,945 "," $9,321 "," $12,702 "," $13,463 "," $7,343 "," $8,965 "," $62,738 "
64,"Walker County, AL HUD Metro FMR Area",Walker County,AL," $9,114 "," $7,817 "," $12,836 "," $14,720 "," $6,135 "," $7,750 "," $58,370 "
65,"Washington County, AL",Washington County,AL," $8,392 "," $8,596 "," $14,268 "," $14,149 "," $6,155 "," $7,800 "," $59,359 "
66,"Wilcox County, AL",Wilcox County,AL," $7,990 "," $8,327 "," $12,920 "," $14,149 "," $5,912 "," $7,083 "," $56,380 "
67,"Winston County, AL",Winston County,AL," $8,549 "," $7,763 "," $13,120 "," $14,149 "," $5,910 "," $7,208 "," $56,699 "
68,"Aleutians East Borough, AK",Aleutians East Borough,AK," $13,973 "," $9,558 "," $7,418 "," $15,935 "," $8,526 "," $7,177 "," $62,587 "
69,"Aleutians West Census Area, AK",Aleutians West Census Area,AK," $19,894 "," $14,205 "," $3,462 "," $15,935 "," $12,355 "," $11,117 "," $76,967 "
70,"Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,AK," $16,400 "," $8,215 "," $13,453 "," $15,019 "," $8,919 "," $10,310 "," $72,316 "
71,"Bethel Census Area, AK",Bethel Census Area,AK," $20,449 "," $9,008 "," $10,841 "," $15,246 "," $10,673 "," $11,035 "," $77,253 "
72,"Bristol Bay Borough, AK",Bristol Bay Borough,AK," $14,144 "," $8,435 "," $15,172 "," $15,935 "," $8,181 "," $8,893 "," $70,760 "
73,"Denali Borough, AK",Denali Borough,AK," $18,205 "," $8,259 "," $13,535 "," $15,935 "," $9,589 "," $10,621 "," $76,144 "
74,"Dillingham Census Area, AK",Dillingham Census Area,AK," $16,642 "," $9,030 "," $10,393 "," $15,246 "," $9,302 "," $8,890 "," $69,503 "
75,"Fairbanks, AK MSA",Fairbanks North Star Borough,AK," $17,396 "," $8,105 "," $13,631 "," $15,198 "," $9,240 "," $10,975 "," $74,545 "
76,"Haines Borough, AK",Haines Borough,AK," $12,785 "," $8,171 "," $14,681 "," $15,576 "," $7,593 "," $7,928 "," $66,733 "
77,"Hoonah-Angoon Census Area, AK",Hoonah-Angoon Census Area,AK," $13,015 "," $7,752 "," $13,681 "," $15,576 "," $7,525 "," $7,563 "," $65,112 "
78,"Juneau City and Borough, AK",Juneau City and Borough,AK," $18,955 "," $7,686 "," $13,697 "," $15,576 "," $9,653 "," $10,926 "," $76,494 "
79,"Kenai Peninsula Borough, AK",Kenai Peninsula Borough,AK," $14,298 "," $9,558 "," $14,367 "," $15,426 "," $8,644 "," $9,102 "," $71,396 "
80,"Ketchikan Gateway Borough, AK",Ketchikan Gateway Borough,AK," $17,443 "," $7,818 "," $13,437 "," $15,426 "," $9,153 "," $9,998 "," $73,276 "
81,"Kodiak Island Borough, AK",Kodiak Island Borough,AK," $18,480 "," $8,479 "," $13,314 "," $15,935 "," $9,768 "," $10,819 "," $76,795 "
82,Kusilvak Census Area,Kusilvak Census Area,AK," $10,811 "," $9,580 "," $10,385 "," $15,935 "," $7,388 "," $6,442 "," $60,541 "
83,"Lake and Peninsula Borough, AK",Lake and Peninsula Borough,AK," $10,783 "," $8,435 "," $12,249 "," $15,935 "," $6,964 "," $6,579 "," $60,945 "
84,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",Matanuska-Susitna Borough,AK," $13,714 "," $9,008 "," $15,111 "," $15,198 "," $8,233 "," $9,585 "," $70,849 "
85,"Nome Census Area, AK",Nome Census Area,AK," $19,762 "," $9,580 "," $9,929 "," $15,935 "," $10,632 "," $10,829 "," $76,667 "
86,"North Slope Borough, AK",North Slope Borough,AK," $17,860 "," $8,193 "," $11,223 "," $15,935 "," $9,440 "," $9,627 "," $72,277 "
87,"Northwest Arctic Borough, AK",Northwest Arctic Borough,AK," $18,313 "," $8,677 "," $9,660 "," $15,935 "," $9,780 "," $9,592 "," $71,957 "
88,Petersburg Borough,Petersburg Borough,AK," $14,180 "," $8,215 "," $14,137 "," $15,576 "," $8,115 "," $8,521 "," $68,744 "
89,"Prince of Wales-Hyder Census Area, AK",Prince of Wales-Hyder Census Area,AK," $12,751 "," $7,752 "," $12,967 "," $15,426 "," $7,429 "," $7,220 "," $63,546 "
90,"Sitka City and Borough, AK",Sitka City and Borough,AK," $15,905 "," $8,215 "," $13,969 "," $15,576 "," $8,739 "," $9,430 "," $71,834 "
91,"Skagway Municipality, AK",Skagway Municipality,AK," $16,190 "," $8,149 "," $14,241 "," $15,576 "," $8,819 "," $9,522 "," $72,497 "
92,"Southeast Fairbanks Census Area, AK",Southeast Fairbanks Census Area,AK," $16,427 "," $8,281 "," $12,575 "," $15,935 "," $8,953 "," $9,342 "," $71,512 "
93,"Valdez-Cordova Census Area, AK",Valdez-Cordova Census Area,AK," $14,140 "," $8,435 "," $13,574 "," $15,246 "," $8,180 "," $8,298 "," $67,873 "
94,"Wrangell City and Borough, AK",Wrangell City and Borough,AK," $11,921 "," $8,303 "," $13,224 "," $15,576 "," $7,328 "," $7,172 "," $63,524 "
95,"Yakutat City and Borough, AK",Yakutat City and Borough,AK," $14,567 "," $8,677 "," $12,410 "," $15,935 "," $8,422 "," $8,482 "," $68,493 "
96,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk Census Area,AK," $10,690 "," $8,369 "," $11,752 "," $15,935 "," $6,906 "," $6,374 "," $60,025 "
97,"Apache County, AZ",Apache County,AZ," $10,044 "," $8,649 "," $14,051 "," $16,862 "," $6,773 "," $7,353 "," $63,733 "
98,"Sierra Vista-Douglas, AZ MSA",Cochise County,AZ," $11,796 "," $7,924 "," $13,382 "," $13,582 "," $7,145 "," $7,470 "," $61,301 "
99,"Flagstaff, AZ MSA",Coconino County,AZ," $17,035 "," $8,838 "," $13,669 "," $16,216 "," $9,375 "," $11,688 "," $76,820 "
100,"Gila County, AZ",Gila County,AZ," $12,565 "," $8,247 "," $13,964 "," $13,720 "," $7,541 "," $7,520 "," $63,557 "
101,"Graham County, AZ",Graham County,AZ," $12,270 "," $7,951 "," $13,971 "," $13,810 "," $7,327 "," $7,318 "," $62,647 "
102,"Greenlee County, AZ",Greenlee County,AZ," $9,892 "," $8,112 "," $13,217 "," $13,810 "," $6,524 "," $5,931 "," $57,485 "
103,"La Paz County, AZ",La Paz County,AZ," $12,409 "," $8,220 "," $13,541 "," $17,072 "," $7,475 "," $8,352 "," $67,069 "
104,"Phoenix-Mesa-Scottsdale, AZ MSA",Maricopa County,AZ," $16,895 "," $8,461 "," $12,777 "," $11,817 "," $9,188 "," $9,782 "," $68,920 "
105,"Lake Havasu City-Kingman, AZ MSA",Mohave County,AZ," $12,204 "," $8,408 "," $12,964 "," $16,635 "," $7,468 "," $8,645 "," $66,324 "
106,"Navajo County, AZ",Navajo County,AZ," $11,444 "," $7,951 "," $13,729 "," $16,862 "," $7,028 "," $7,705 "," $64,719 "
107,"Tucson, AZ MSA",Pima County,AZ," $12,822 "," $8,327 "," $12,752 "," $9,932 "," $7,663 "," $6,956 "," $58,451 "
108,"Phoenix-Mesa-Scottsdale, AZ MSA",Pinal County,AZ," $15,950 "," $7,951 "," $14,080 "," $13,133 "," $8,660 "," $9,817 "," $69,592 "
109,"Santa Cruz County, AZ",Santa Cruz County,AZ," $10,280 "," $6,930 "," $13,217 "," $11,626 "," $6,236 "," $5,063 "," $53,353 "
110,"Prescott, AZ MSA",Yavapai County,AZ," $13,867 "," $8,918 "," $13,687 "," $16,066 "," $8,256 "," $9,842 "," $70,637 "
111,"Yuma, AZ MSA",Yuma County,AZ," $12,434 "," $7,306 "," $13,194 "," $16,844 "," $7,153 "," $8,527 "," $65,459 "
112,"Arkansas County, AR",Arkansas County,AR," $8,748 "," $8,139 "," $12,847 "," $12,054 "," $6,119 "," $5,610 "," $53,517 "
113,"Ashley County, AR",Ashley County,AR," $8,546 "," $7,924 "," $13,181 "," $12,054 "," $5,968 "," $5,500 "," $53,173 "
114,"Baxter County, AR",Baxter County,AR," $9,047 "," $8,569 "," $12,832 "," $12,054 "," $6,383 "," $5,950 "," $54,834 "
115,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Benton County,AR," $11,341 "," $8,112 "," $13,201 "," $11,997 "," $7,049 "," $8,188 "," $59,887 "
116,"Boone County, AR",Boone County,AR," $8,749 "," $7,172 "," $12,929 "," $12,054 "," $5,769 "," $5,209 "," $51,881 "
117,"Bradley County, AR",Bradley County,AR," $8,389 "," $7,736 "," $13,160 "," $12,054 "," $5,843 "," $5,423 "," $52,605 "
118,"Calhoun County, AR",Calhoun County,AR," $9,230 "," $7,602 "," $13,848 "," $12,054 "," $6,099 "," $5,968 "," $54,801 "
119,"Carroll County, AR",Carroll County,AR," $8,278 "," $8,005 "," $13,360 "," $12,054 "," $5,900 "," $5,472 "," $53,068 "
120,"Chicot County, AR",Chicot County,AR," $8,723 "," $7,817 "," $12,751 "," $12,054 "," $5,993 "," $5,468 "," $52,806 "
121,"Clark County, AR",Clark County,AR," $8,572 "," $8,005 "," $12,980 "," $12,054 "," $6,006 "," $5,536 "," $53,153 "
122,"Clay County, AR",Clay County,AR," $8,291 "," $7,118 "," $13,279 "," $12,054 "," $5,583 "," $5,136 "," $51,461 "
123,"Cleburne County, AR",Cleburne County,AR," $8,956 "," $8,327 "," $13,652 "," $12,054 "," $6,262 "," $6,053 "," $55,303 "
124,"Pine Bluff, AR MSA",Cleveland County,AR," $8,080 "," $7,924 "," $13,858 "," $11,997 "," $5,799 "," $6,202 "," $53,861 "
125,"Columbia County, AR",Columbia County,AR," $8,492 "," $7,817 "," $13,057 "," $12,054 "," $5,909 "," $5,444 "," $52,773 "
126,"Conway County, AR",Conway County,AR," $8,588 "," $7,494 "," $13,561 "," $12,054 "," $5,827 "," $5,516 "," $53,041 "
127,"Jonesboro, AR HUD Metro FMR Area",Craighead County,AR," $10,462 "," $7,387 "," $12,606 "," $11,997 "," $6,467 "," $7,066 "," $55,985 "
128,"Fort Smith, AR-OK HUD Metro FMR Area",Crawford County,AR," $9,760 "," $7,387 "," $13,310 "," $11,997 "," $6,213 "," $6,834 "," $55,501 "
129,"Memphis, TN-MS-AR HUD Metro FMR Area",Crittenden County,AR," $9,401 "," $7,951 "," $12,637 "," $11,997 "," $6,287 "," $6,602 "," $54,876 "
130,"Cross County, AR",Cross County,AR," $9,138 "," $7,548 "," $12,842 "," $12,054 "," $6,046 "," $5,617 "," $53,246 "
131,"Dallas County, AR",Dallas County,AR," $8,802 "," $7,763 "," $13,076 "," $12,054 "," $6,002 "," $5,567 "," $53,265 "
132,"Desha County, AR",Desha County,AR," $8,538 "," $7,736 "," $12,707 "," $12,054 "," $5,897 "," $5,342 "," $52,273 "
133,"Drew County, AR",Drew County,AR," $8,423 "," $7,924 "," $12,694 "," $12,054 "," $5,923 "," $5,320 "," $52,337 "
134,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Faulkner County,AR," $11,011 "," $8,059 "," $13,059 "," $11,997 "," $6,910 "," $7,790 "," $58,825 "
135,"Franklin County, AR",Franklin County,AR," $8,363 "," $7,575 "," $13,249 "," $12,054 "," $5,775 "," $5,294 "," $52,309 "
136,"Fulton County, AR",Fulton County,AR," $8,548 "," $7,897 "," $13,310 "," $12,054 "," $5,959 "," $5,618 "," $53,385 "
137,"Hot Springs, AR MSA",Garland County,AR," $10,069 "," $8,005 "," $12,863 "," $11,997 "," $6,549 "," $7,175 "," $56,657 "
138,"Grant County, AR HUD Metro FMR Area",Grant County,AR," $9,565 "," $8,247 "," $14,116 "," $11,997 "," $6,454 "," $7,244 "," $57,622 "
139,"Greene County, AR",Greene County,AR," $9,438 "," $7,226 "," $13,051 "," $12,054 "," $6,038 "," $5,700 "," $53,506 "
140,"Hempstead County, AR",Hempstead County,AR," $8,563 "," $7,387 "," $12,824 "," $12,054 "," $5,779 "," $5,236 "," $51,844 "
141,"Hot Spring County, AR",Hot Spring County,AR," $8,699 "," $7,844 "," $13,208 "," $12,054 "," $5,994 "," $5,634 "," $53,432 "
142,"Howard County, AR",Howard County,AR," $8,447 "," $7,871 "," $12,847 "," $12,054 "," $5,912 "," $5,351 "," $52,481 "
143,"Independence County, AR",Independence County,AR," $8,340 "," $7,521 "," $13,078 "," $12,054 "," $5,747 "," $5,212 "," $51,953 "
144,"Izard County, AR",Izard County,AR," $8,236 "," $7,924 "," $13,313 "," $12,054 "," $5,855 "," $5,404 "," $52,785 "
145,"Jackson County, AR",Jackson County,AR," $8,232 "," $7,521 "," $13,037 "," $12,054 "," $5,708 "," $5,160 "," $51,712 "
146,"Pine Bluff, AR MSA",Jefferson County,AR," $9,491 "," $7,817 "," $12,061 "," $11,997 "," $6,271 "," $6,425 "," $54,063 "
147,"Johnson County, AR",Johnson County,AR," $8,642 "," $7,602 "," $13,084 "," $12,054 "," $5,886 "," $5,419 "," $52,687 "
148,"Lafayette County, AR",Lafayette County,AR," $8,399 "," $8,166 "," $13,099 "," $12,054 "," $6,002 "," $5,531 "," $53,250 "
149,"Lawrence County, AR",Lawrence County,AR," $8,456 "," $7,468 "," $13,114 "," $12,054 "," $5,770 "," $5,304 "," $52,165 "
150,"Lee County, AR",Lee County,AR," $8,802 "," $7,656 "," $12,763 "," $12,054 "," $5,963 "," $5,424 "," $52,662 "
151,"Pine Bluff, AR MSA",Lincoln County,AR," $6,849 "," $7,629 "," $13,128 "," $11,997 "," $5,246 "," $5,112 "," $49,960 "
152,"Little River County, AR HUD Metro FMR Area",Little River County,AR," $8,819 "," $7,844 "," $13,575 "," $11,997 "," $6,037 "," $6,580 "," $54,852 "
153,"Logan County, AR",Logan County,AR," $8,435 "," $7,763 "," $13,381 "," $12,054 "," $5,869 "," $5,444 "," $52,946 "
154,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Lonoke County,AR," $10,611 "," $8,327 "," $13,681 "," $11,997 "," $6,862 "," $7,870 "," $59,348 "
155,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Madison County,AR," $7,724 "," $8,005 "," $14,661 "," $11,997 "," $5,699 "," $6,324 "," $54,409 "
156,"Marion County, AR",Marion County,AR," $8,165 "," $8,059 "," $13,351 "," $12,054 "," $5,878 "," $5,475 "," $52,982 "
157,"Texarkana, TX-Texarkana, AR HUD Metro FMR Area",Miller County,AR," $10,247 "," $8,112 "," $12,724 "," $11,997 "," $6,652 "," $7,270 "," $57,002 "
158,"Mississippi County, AR",Mississippi County,AR," $8,314 "," $7,602 "," $12,435 "," $12,054 "," $5,767 "," $5,013 "," $51,184 "
159,"Monroe County, AR",Monroe County,AR," $8,587 "," $7,360 "," $13,090 "," $12,054 "," $5,778 "," $5,281 "," $52,151 "
160,"Montgomery County, AR",Montgomery County,AR," $8,665 "," $7,844 "," $13,452 "," $12,054 "," $5,982 "," $5,701 "," $53,697 "
161,"Nevada County, AR",Nevada County,AR," $9,946 "," $7,575 "," $13,081 "," $12,054 "," $6,348 "," $6,102 "," $55,106 "
162,"Newton County, AR",Newton County,AR," $8,797 "," $7,790 "," $14,172 "," $12,054 "," $6,010 "," $5,922 "," $54,745 "
163,"Ouachita County, AR",Ouachita County,AR," $8,732 "," $7,441 "," $12,766 "," $12,054 "," $5,860 "," $5,231 "," $52,083 "
164,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Perry County,AR," $8,412 "," $8,300 "," $14,369 "," $11,997 "," $6,055 "," $6,701 "," $55,834 "
165,"Phillips County, AR",Phillips County,AR," $8,744 "," $8,032 "," $12,233 "," $12,054 "," $6,079 "," $5,459 "," $52,600 "
166,"Pike County, AR",Pike County,AR," $8,600 "," $7,871 "," $13,323 "," $12,054 "," $5,968 "," $5,592 "," $53,407 "
167,"Poinsett County, AR HUD Metro FMR Area",Poinsett County,AR," $8,243 "," $7,092 "," $12,712 "," $11,997 "," $5,556 "," $5,548 "," $51,147 "
168,"Polk County, AR",Polk County,AR," $8,189 "," $7,871 "," $13,411 "," $12,054 "," $5,819 "," $5,460 "," $52,803 "
169,"Pope County, AR",Pope County,AR," $9,142 "," $7,656 "," $13,152 "," $12,054 "," $6,086 "," $5,751 "," $53,840 "
170,"Prairie County, AR",Prairie County,AR," $8,212 "," $7,871 "," $13,133 "," $12,054 "," $5,827 "," $5,322 "," $52,418 "
171,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Pulaski County,AR," $11,478 "," $8,327 "," $12,257 "," $11,997 "," $7,176 "," $7,958 "," $59,193 "
172,"Randolph County, AR",Randolph County,AR," $8,473 "," $7,414 "," $13,324 "," $12,054 "," $5,757 "," $5,311 "," $52,332 "
173,"St. Francis County, AR",St. Francis County,AR," $8,819 "," $7,468 "," $12,231 "," $12,054 "," $5,901 "," $5,211 "," $51,683 "
174,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Saline County,AR," $11,291 "," $8,515 "," $13,398 "," $11,997 "," $7,177 "," $8,294 "," $60,671 "
175,"Scott County, AR",Scott County,AR," $8,212 "," $7,709 "," $13,491 "," $12,054 "," $5,769 "," $5,364 "," $52,599 "
176,"Searcy County, AR",Searcy County,AR," $8,423 "," $7,736 "," $13,786 "," $12,054 "," $5,855 "," $5,572 "," $53,425 "
177,"Fort Smith, AR-OK HUD Metro FMR Area",Sebastian County,AR," $9,691 "," $7,575 "," $12,226 "," $11,997 "," $6,256 "," $6,525 "," $54,269 "
178,"Sevier County, AR",Sevier County,AR," $8,377 "," $7,871 "," $12,915 "," $12,054 "," $5,887 "," $5,325 "," $52,429 "
179,"Sharp County, AR",Sharp County,AR," $8,257 "," $7,656 "," $13,150 "," $12,054 "," $5,766 "," $5,283 "," $52,166 "
180,"Stone County, AR",Stone County,AR," $8,332 "," $7,924 "," $13,370 "," $12,054 "," $5,890 "," $5,480 "," $53,050 "
181,"Union County, AR",Union County,AR," $9,226 "," $7,817 "," $12,895 "," $12,054 "," $6,175 "," $5,777 "," $53,943 "
182,"Van Buren County, AR",Van Buren County,AR," $8,792 "," $7,951 "," $13,292 "," $12,054 "," $6,067 "," $5,693 "," $53,850 "
183,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Washington County,AR," $9,972 "," $8,059 "," $12,714 "," $11,997 "," $6,533 "," $7,117 "," $56,391 "
184,"White County, AR",White County,AR," $9,185 "," $7,629 "," $13,117 "," $12,054 "," $6,092 "," $5,813 "," $53,889 "
